id,slug,title,pub_date,has_ruby,has_ipa,has_shortcode,has_iframe_embed,has_images,content_length
3,sheena-ringo-repeated-consonance,椎名林檎「歌舞伎町の女王」の歌詞分析：繰り返し現れる子音,2014-12-03 02:04:26,false,false,false,false,true,4374
117,how-to-write-like-an-asian-kung-fu-generation,ASIAN KUNG-FU GENERATIONのように歌詞を書くための6ヶ条,2014-12-15 16:14:58,false,false,false,false,true,7164
220,i-dan-consonance-exercises,クリスマスプレゼント：「い段子音課題」をお届けします！,2014-12-25 21:07:38,false,false,false,false,true,3990
244,public-memo,公開メモ,2014-12-28 15:58:59,false,false,false,false,false,863
250,utada-hikaru-like-mora-syllable-articulation,宇多田ヒカルの作詞の特徴：半シラブル化仮説,2014-12-29 03:03:32,false,false,false,false,true,4021
277,how-to-accent-consonances-like-utada-hikaru,作詞家とボーカルのための宇多田ヒカル論：「Automatic」における子音の強調の方法,2015-01-02 17:37:22,false,false,false,false,true,6815
308,where-to-place-nn-consonances-like-utada-hikaru,宇多田ヒカル「Automatic」の歌詞分析：1拍目と3拍目に「ん」を配置してみよう,2015-01-03 13:02:58,false,false,false,false,true,859
312,where-to-place-ii-like-utada-hikaru,宇多田ヒカル「Automatic」の歌詞分析：1拍目と3拍目で「い」音を強調する,2015-01-03 18:28:43,false,false,false,false,true,1846
324,essay-on-art-of-utada-hikarus-alliteration-and-rhyme,宇多田ヒカルの頭韻と緩やかなライムについてのエセー,2015-01-07 04:14:01,false,false,false,false,false,2155
99,essay-on-glay-like-repetition-and-little-rhyme,GLAYの歌詞のたたみかけとちょっとしたライムについてのエセー,2015-01-07 18:33:34,false,false,false,false,true,1670
107,how-to-write-lyrics-bop-writing,作詞法：宇多田ヒカル「time will tell」とバップライティングのすすめ,2015-01-08 23:27:09,false,false,false,false,true,4796
392,how-to-start-writing-lyrics,作詞のはじめかた,2015-01-28 23:01:44,false,false,false,true,false,2651
437,sekai-no-owari-dragon-night-closed-syllable-consonant,SEKAI NO OWARI “Dragon Night” の子音の発音の特徴,2015-03-28 02:50:04,false,false,true,true,true,10541

SUMMARY,metric,value,,,,,,,
SUMMARY,total_published_posts,13,,,,,,,
SUMMARY,has_ruby_true_count,0,,,,,,,
SUMMARY,has_ipa_true_count,0,,,,,,,
SUMMARY,has_shortcode_true_count,1,,,,,,,
SUMMARY,has_iframe_embed_true_count,2,,,,,,,
SUMMARY,has_images_true_count,10,,,,,,,
